"","geouid","type","region_name","area","population","dwellings","households","cma_uid","pr_uid","csd_uid","cd_uid","avg_hh_size","hh_with_children_single_parents","hh_with_children_couples","avg_rooms_per_dwelling","lfp_female","commute_car_male","commute_car_female","commute_publictransit_male","commute_publictransit_female","commute_walk_male","commute_walk_female","commute_bicycle_male","commute_bicycle_female","commute_time_lt15_male","commute_time_lt15_female","commute_time_15to29_male","commute_time_15to29_female","commute_time_30to44_male","commute_time_30to44_female","commute_time_45to59_male","commute_time_45to59_female","commute_time_gt60_male","commute_time_gt60_female","med_hh_income_thousands","degree_stock","fraction_deadend_stock","fraction_1_3_stock","pca1_stock","distanceratio_500_1000_stock","length_m_stock","n_nodes_stock"
"1",10001,"CT","St. John's",10.2682,1734,719,698,10001,10,1001519,1001,2.5,155,190,6.4,54,295,255,20,15,10,0,0,0,160,90,120,210,40,25,0,0,25,10,51.584,2.7561,0.219512,0.804878,5.55074331099605,1.96893,24953,41
"2",10002,"CT","St. John's",1.98341,4538,2318,2131,10001,10,1001519,1001,2.1,245,410,6.3,55.7,740,690,45,50,55,40,0,0,455,530,365,320,80,45,20,35,35,10,63.648,2.92233,0.15534,0.76699,2.45726355493147,1.53556,30108,103
"3",10003.01,"CT","St. John's",1.61717,4223,2144,1931,10001,10,1001519,1001,2.1,305,395,6.5,53.9,625,775,50,50,70,60,10,0,405,565,360,310,50,85,0,15,30,20,57.216,2.53763,0.290323,0.88172,4.3672569328332,1.57807,20207,93
"4",10003.02,"CT","St. John's",1.96302,4710,2418,2225,10001,10,1001519,1001,2.1,370,420,6.4,58.1,795,835,95,85,40,70,0,0,460,530,480,585,45,65,30,10,55,10,58.32,2.94681,0.12766,0.797872,2.48783798837383,1.45458,24124,94
"5",10004,"CT","St. John's",9.20442,7893,4034,3634,10001,10,1001519,1001,2.2,635,610,5.9,58.5,1245,1300,80,115,145,130,0,10,750,1065,680,645,110,70,30,35,110,45,50.022,2.89474,0.162281,0.780702,3.14454872855324,1.48284,68877,228
"6",10005.01,"CT","St. John's",1.06923,2313,1331,1251,10001,10,1001519,1001,1.8,170,150,5.5,52.6,325,330,25,25,50,55,0,0,225,315,165,175,50,20,10,10,15,10,37.056,3,0.12,0.76,1.86707718865293,1.39131,13411,50
"7",10005.02,"CT","St. John's",0.98627,3227,1741,1551,10001,10,1001519,1001,2.1,250,240,5.7,54.9,450,380,60,50,120,105,0,0,325,415,265,210,50,30,10,0,30,10,43.136,2.88889,0.142857,0.825397,1.53054177839587,1.35515,14647,63
"8",10006,"CT","St. John's",1.06287,2904,1826,1555,10001,10,1001519,1001,1.8,190,130,5.4,62.7,425,440,70,70,175,140,10,0,300,385,315,285,75,40,10,10,30,15,43.755,3.19298,0.0964912,0.614035,0.561512019673692,1.30564,19196,114
"9",10007,"CT","St. John's",0.5358,2172,1528,1216,10001,10,1001519,1001,1.7,85,110,5.1,74.3,295,255,35,50,215,200,0,0,310,365,200,145,30,45,15,10,30,10,49.088,3.32692,0.0576923,0.557692,-0.649031831493758,1.18996,14775,104
"10",10008,"CT","St. John's",2.69578,1596,978,831,10001,10,1001519,1001,1.9,100,105,5.8,52,270,260,20,25,85,40,10,0,190,180,190,130,10,30,0,15,20,10,58.837,2.85714,0.174603,0.793651,2.07345575833515,1.34104,13906,63
"11",10009,"CT","St. John's",0.57768,509,251,230,10001,10,1001519,1001,2.1,15,45,7.6,63.5,90,105,0,0,15,25,0,10,55,105,40,30,15,15,0,0,0,0,94.208,3.20588,0.0588235,0.676471,-0.0314650593753415,1.25598,7559,34
"12",10010,"CT","St. John's",0.63517,1732,922,814,10001,10,1001519,1001,2,55,130,6.3,64.1,260,255,15,30,100,95,0,0,250,270,150,90,10,40,10,0,0,0,79.36,3.30357,0.0535714,0.589286,0.314211328792785,1.26875,10012,56
"13",10011,"CT","St. John's",0.50137,2672,1454,1305,10001,10,1001519,1001,2,155,170,5.8,61.8,390,380,80,55,130,130,0,0,300,425,270,185,60,40,20,0,35,15,52.352,3.33333,0.0166667,0.633333,0.602402940439361,1.32384,11330,60
"14",10012,"CT","St. John's",1.45161,2620,1322,1125,10001,10,1001519,1001,2.3,175,155,6.3,50.2,295,235,95,70,120,100,10,0,245,250,210,160,65,40,10,0,35,20,42.56,3.12222,0.144444,0.588889,1.42240286699837,1.34096,22395,90
"15",10013,"CT","St. John's",0.90536,1742,851,762,10001,10,1001519,1001,2.3,60,200,7.7,57.2,235,255,10,20,85,65,15,10,185,240,155,140,0,0,10,0,15,10,98.816,2.92308,0.211538,0.653846,2.08964062379268,1.32706,11623,52
"16",10014,"CT","St. John's",1.54018,3358,1545,1407,10001,10,1001519,1001,2.2,155,300,7.6,55.4,485,465,30,35,50,75,0,0,395,435,150,190,40,25,10,10,40,10,77.376,2.88636,0.159091,0.795455,2.5191825863063,1.41568,19390,88
"17",10015.01,"CT","St. John's",10.33273,4486,2370,2187,10001,10,1001519,1001,2,340,360,6.1,51.9,650,715,45,60,30,35,15,0,415,525,305,350,50,65,30,20,30,25,60.032,2.73885,0.191083,0.878981,3.67133510931405,1.52461,34178,157
"18",10015.02,"CT","St. John's",1.30478,3763,1706,1620,10001,10,1001519,1001,2.3,210,415,7.1,59.3,640,665,45,95,45,60,0,0,400,580,355,280,60,80,10,0,25,0,73.643,2.84694,0.163265,0.826531,3.26247210383645,1.47451,20074,98
"19",10015.03,"CT","St. John's",2.92605,5331,2189,2054,10001,10,1001519,1001,2.3,190,560,7.1,51.9,915,625,45,60,65,70,0,0,655,565,375,310,40,55,10,0,25,10,83.31,2.77698,0.194245,0.834532,3.50549397403045,1.53716,35305,139
"20",10015.04,"CT","St. John's",3.37623,5840,2313,2215,10001,10,1001519,1001,2.6,220,850,8.3,60.6,1185,1075,45,15,40,10,0,0,660,750,615,510,35,35,25,0,65,10,112.077,2.54839,0.277419,0.896774,5.90645633952987,1.80178,39631,155
"21",10016.01,"CT","St. John's",6.48792,4672,2054,1843,10001,10,1001519,1001,2.5,160,700,7.1,71.8,1090,1100,35,25,25,20,0,0,545,700,585,490,55,20,10,10,75,25,98.4,2.76378,0.173228,0.889764,4.37382578176133,1.72099,37709,127
"22",10016.02,"CT","St. John's",22.4588,5183,2746,2271,10001,10,1001519,1001,2.3,260,400,6.6,61.6,795,760,100,125,105,120,10,0,500,665,420,380,110,85,20,20,65,15,59.029,2.92079,0.178218,0.722772,3.51385399340149,1.61369,76605,202
"23",10017,"CT","St. John's",161.43434,4816,1860,1755,10001,10,1001519,1001,2.7,165,805,7.4,69.9,1165,1155,10,0,10,15,10,0,415,460,675,740,45,55,20,10,135,10,127.04,2.8,0.161905,0.87619,5.12699799999351,1.73236,143350,210
"24",10100.01,"CT","St. John's",10.75504,5777,2641,2482,10001,10,1001519,1001,2.3,330,695,6.7,64.5,1185,1230,55,65,10,10,0,0,425,565,695,765,130,115,25,10,95,30,74.325,2.64773,0.25,0.852273,4.44050219074129,1.69374,59567,176
"25",10100.03,"CT","St. John's",139.54578,3310,1324,1271,10001,10,1001519,1001,2.6,200,450,7.3,61.4,650,625,10,15,0,15,0,0,125,155,390,455,155,110,10,25,65,10,80.64,2.35115,0.358779,0.931298,5.32798744084029,1.53497,77035,131
"26",10100.04,"CT","St. John's",36.93537,4345,1654,1613,10001,10,1001519,1001,2.7,235,645,7.5,67.4,925,1015,10,15,0,25,10,0,175,240,600,755,155,135,40,15,75,10,92.132,2.65455,0.218182,0.909091,3.26468291354634,1.49109,42552,55
"27",10110,"CT","Bay Bulls",48.9213,3119,1223,1155,10001,10,1001557,1001,2.7,130,485,7.2,61.9,625,625,10,0,20,10,0,0,160,190,130,85,260,290,55,80,140,20,98.253,2.40994,0.354037,0.881988,4.94075364990319,1.51152,76812,161
"28",10170.01,"CT","St. John's",2.69107,2794,1292,1191,10001,10,1001519,1001,2.3,155,320,7.3,59.5,550,540,20,25,15,20,0,0,225,265,390,355,35,40,10,10,15,10,77.056,2.62319,0.246377,0.884058,4.42848490137229,1.7612,22898,69
"29",10170.02,"CT","St. John's",1.55675,4034,1930,1762,10001,10,1001519,1001,2.3,180,465,7.5,57.2,775,715,50,40,20,25,10,0,370,435,460,475,40,30,25,0,35,15,79.726,2.67391,0.23913,0.847826,3.70718467317748,1.52589,19339,92
"30",10171,"CT","Mount Pearl",3.87487,4682,2217,2021,10001,10,1001542,1001,2.3,270,545,6.9,57.2,950,945,25,15,30,30,10,0,450,475,495,565,90,60,0,0,55,10,71.219,2.85039,0.149606,0.850394,3.38060896594767,1.71574,30355,127
"31",10172.02,"CT","Mount Pearl",4.8921,5498,2523,2292,10001,10,1001542,1001,2.4,295,725,7.5,60.2,1245,1065,35,35,30,40,0,0,530,445,750,785,115,60,10,10,75,20,82.261,2.83333,0.186667,0.793333,4.75005461353365,1.72967,42290,150
"32",10172.03,"CT","Mount Pearl",0.78032,1999,972,876,10001,10,1001542,1001,2.3,130,215,6.8,53.2,390,355,20,10,20,10,0,0,200,185,225,235,35,30,10,0,20,10,69.504,3.0625,0.0833333,0.770833,2.78605884390382,1.65992,10820,48
"33",10172.04,"CT","Mount Pearl",4.95215,5121,2298,2162,10001,10,1001542,1001,2.3,265,580,6.6,66.2,1070,1085,20,25,15,20,10,0,485,590,560,610,75,50,20,10,80,30,77.909,2.76,0.184,0.872,5.2297835432637,1.868,32807,125
"34",10172.05,"CT","Mount Pearl",1.82067,4895,2027,1903,10001,10,1001542,1001,2.6,205,695,8,64.5,1140,1015,10,15,30,35,10,0,510,460,625,725,65,60,25,15,80,20,96.146,2.62295,0.303279,0.770492,5.77040624380754,1.7749,25729,122
"35",10172.06,"CT","Mount Pearl",1.14732,2029,860,843,10001,10,1001542,1001,2.4,155,270,7.4,65.6,430,485,10,0,20,20,0,0,150,245,265,300,50,30,15,10,30,0,76.032,2.86111,0.208333,0.722222,4.0642031625686,1.67175,18072,72
